id,tool_id,approved_date,table,is_approved,is_requester_received,is_returned,returned_quantity
1350,35446524-b1d3-471c-8945-a2b020e212e7,2025-05-14 11:17:23,inventories,1,0,0,
1348,4fada355-cf98-422b-bbbf-0526537a1ae3,2025-05-14 11:17:38,inventories,1,0,0,
1347,390b1ec8-6481-47fb-affd-b7093e9634b1,2025-05-13 12:11:52,inventories,1,1,0,
1346,4fada355-cf98-422b-bbbf-0526537a1ae3,2025-05-13 12:11:58,inventories,1,1,0,
1343,4586b311-5efe-4c45-92cf-092b00d2d415,2025-05-13 12:12:10,inventories,1,0,0,
1342,2551f931-0bbc-4850-bbab-d6ec7f174d2d,2025-05-12 06:15:33,inventories,1,0,0,
1340,51895fde-9495-445f-ad7d-f0695b45ff32,2025-05-12 05:08:57,inventories,1,0,0,
1337,b6bf5cec-191f-45d4-b77e-f86a0002e03f,2025-05-02 12:50:59,inventories,1,0,0,
1336,46d6ac82-6111-45f1-84ec-1ce0f4f7ad3e,2025-05-02 05:34:17,inventories,1,1,0,
1335,4fada355-cf98-422b-bbbf-0526537a1ae3,2025-04-30 09:07:31,inventories,1,0,0,
1334,4586b311-5efe-4c45-92cf-092b00d2d415,2025-04-30 09:08:11,inventories,1,0,0,
1333,cb403b52-6503-4bf6-89e4-75d0619e40ab,2025-04-30 09:11:56,inventories,1,1,0,
1332,52771bdc-e39d-450c-b453-79d39a76bccf,2025-04-30 09:12:08,inventories,1,1,0,
1331,1afe2047-ad3b-40fa-8e8c-c3dcbef0f61c,2025-04-30 09:12:16,inventories,1,1,0,
1330,895fe659-af6e-400e-bb27-68b7d508141d,2025-04-24 05:09:00,inventories,1,0,0,
1329,b6bf5cec-191f-45d4-b77e-f86a0002e03f,2025-04-24 05:08:35,inventories,1,0,0,
1328,35992d28-ca7f-4b70-9db5-07ab8309303e,2025-04-22 12:21:09,inventories,1,0,0,
1327,4586b311-5efe-4c45-92cf-092b00d2d415,2025-04-22 07:19:51,inventories,1,1,0,
1326,4fada355-cf98-422b-bbbf-0526537a1ae3,2025-04-17 04:55:51,inventories,1,0,0,
1324,07c23adc-ddb1-4e00-bed7-c1cee03b1d6c,2025-04-15 06:54:06,inventories,1,1,0,
1323,467689bb-6e2d-4bfc-bf3f-33f49239306f,2025-04-14 12:40:41,inventories,1,1,0,
1321,4586b311-5efe-4c45-92cf-092b00d2d415,2025-04-14 05:52:01,inventories,1,1,0,
1320,52771bdc-e39d-450c-b453-79d39a76bccf,2025-04-11 12:49:34,inventories,1,0,0,
1319,4586b311-5efe-4c45-92cf-092b00d2d415,2025-04-11 12:50:38,inventories,1,0,0,
1318,1a84b651-6361-44f3-8c8a-c3f4d16c1b49,2025-04-11 12:50:51,inventories,1,1,0,
1317,4fada355-cf98-422b-bbbf-0526537a1ae3,2025-04-11 12:49:00,inventories,1,0,0,
1314,4586b311-5efe-4c45-92cf-092b00d2d415,2025-04-11 12:51:08,inventories,1,0,0,
1313,16f9d683-4e8a-4473-a705-9dc3b76a2bd0,2025-07-16 12:19:15,inventories,1,0,0,
1312,1778e2bd-b659-467e-9af2-bcd58b5d7206,2025-04-10 06:18:41,inventories,1,0,0,
1311,467689bb-6e2d-4bfc-bf3f-33f49239306f,2025-04-09 11:55:03,inventories,1,1,0,
1310,b6bf5cec-191f-45d4-b77e-f86a0002e03f,2025-04-09 07:57:09,inventories,1,1,0,
1309,4fada355-cf98-422b-bbbf-0526537a1ae3,2025-04-09 07:57:42,inventories,1,1,0,
