item_id,project_id,time_period_start,requested_qty,received_qty,returned_qty,consumed_qty,end_available_amount,end_total_quantity,overdue_returns_count,avg_days_to_return
4fada355-cf98-422b-bbbf-0526537a1ae3,6e9a0257-963f-4255-89d1-4136da81e028,2025-03-17,1.0,7.0,0.0,0.0,105,0,2,171.5
4fada355-cf98-422b-bbbf-0526537a1ae3,6e9a0257-963f-4255-89d1-4136da81e028,2025-03-24,0.0,2.0,0.0,0.0,103,0,1,158.0
4fada355-cf98-422b-bbbf-0526537a1ae3,6e9a0257-963f-4255-89d1-4136da81e028,2025-03-31,0.0,0.0,0.0,0.0,103,0,0,
4fada355-cf98-422b-bbbf-0526537a1ae3,6e9a0257-963f-4255-89d1-4136da81e028,2025-04-07,3.0,2.0,0.0,0.0,101,0,1,97.0
4fada355-cf98-422b-bbbf-0526537a1ae3,6e9a0257-963f-4255-89d1-4136da81e028,2025-04-14,4.0,0.0,0.0,0.0,101,0,0,
4fada355-cf98-422b-bbbf-0526537a1ae3,6e9a0257-963f-4255-89d1-4136da81e028,2025-04-28,4.0,0.0,0.0,0.0,101,0,0,
4fada355-cf98-422b-bbbf-0526537a1ae3,6e9a0257-963f-4255-89d1-4136da81e028,2025-05-12,20.0,2.0,0.0,0.0,99,0,1,97.0
4fada355-cf98-422b-bbbf-0526537a1ae3,6e9a0257-963f-4255-89d1-4136da81e028,2025-05-19,0.0,5.0,0.0,0.0,94,0,1,110.0
4fada355-cf98-422b-bbbf-0526537a1ae3,6e9a0257-963f-4255-89d1-4136da81e028,2025-05-26,10.0,0.0,0.0,0.0,94,0,0,
4fada355-cf98-422b-bbbf-0526537a1ae3,6e9a0257-963f-4255-89d1-4136da81e028,2025-06-02,0.0,2.0,0.0,0.0,92,0,1,97.0
4fada355-cf98-422b-bbbf-0526537a1ae3,6e9a0257-963f-4255-89d1-4136da81e028,2025-06-23,0.0,2.0,0.0,0.0,90,0,1,53.0
4fada355-cf98-422b-bbbf-0526537a1ae3,6e9a0257-963f-4255-89d1-4136da81e028,2025-06-30,7.0,0.0,0.0,0.0,90,0,0,
4fada355-cf98-422b-bbbf-0526537a1ae3,6e9a0257-963f-4255-89d1-4136da81e028,2025-07-14,4.0,0.0,0.0,0.0,90,0,0,
4fada355-cf98-422b-bbbf-0526537a1ae3,6e9a0257-963f-4255-89d1-4136da81e028,2025-07-21,9.0,0.0,0.0,0.0,90,0,0,
