id,department_id,source,total_quantity,current_stock
056c28c8-d41e-4aa4-81db-35d9ea85eb6d,ICT Park TTA,inventory,12.0,12.0
0573c3b0-26ce-4b83-a3ac-6ececa58a9c4,EPSS,inventory,150.0,150.0
0574229b-7cbe-4a3e-aa5c-7b316b955638,MINT Commissioning of Smart Communication Rooms at,inventory,1000.0,1000.0
0574ce5b-85a5-46b6-b79c-0e6b2b6db54a,ICT Park TTA,asset,12.0,12.0
05912471-2f1b-4238-b348-943acef34fa1,Kaizen VC Equipment,inventory,18.0,18.0
059bef73-e92a-454d-9427-6e9557b90f10,ICT Park TTA,asset,40.0,40.0
05a1062a-61e3-4793-8ac6-2832de268b29,MINT Commissioning of Smart Communication Rooms at,inventory,1000.0,1000.0
05ac0193-5a0b-4192-bfae-f8ae828ae3e1,HQ Office Facility,inventory,60.0,60.0
05ae0403-21a0-4464-92d3-fec6e8fdcc83,ICT Park TTA,inventory,3.0,3.0
05b55aca-1ec4-4a61-a3b4-c9b69e8863a5,ICT Park TTA,inventory,200.0,200.0
05d272e3-d0c7-46e1-99d8-e3468241725d,MINT Commissioning of Smart Communication Rooms at,inventory,87.0,87.0
05d5e735-0435-44be-8466-ab809a56db64,MINT Commissioning of Smart Communication Rooms at,inventory,1000.0,1000.0
05d701fc-8f20-4ab7-8d6c-29562e78b390,ICT Park TTA,inventory,40.0,40.0
05d72277-56b6-4618-83ec-ba87fceb33e3,HQ support,inventory,1.0,1.0
05d89991-f337-4d07-baf8-a3736131398f,HQ Office Facility,inventory,60.0,60.0
05e2cdeb-7a42-4a02-a85f-47b9546c2a46,MINT Commissioning of Smart Communication Rooms at,inventory,864.0,864.0
05e3c1d4-1fa1-4586-8947-4d8d6825d661,MINT Commissioning of Smart Communication Rooms at,inventory,864.0,864.0
05e9d525-9400-41a6-8f10-7f5ee5f590df,ICT Park TTA,inventory,1.0,1.0
05ef01dd-f4e0-49ee-9f4b-e4964f9d017c,Kaizen VC Equipment,inventory,150.0,150.0
05efdcbb-3075-4b35-aeb6-2005bc0519ac,ICT Park TTA,inventory,72.0,72.0
05f21281-11c9-475d-a913-e33f5311ce65,MINT Commissioning of Smart Communication Rooms at,inventory,864.0,864.0
05fba80d-f21e-4b04-92af-cd28e7bbf359,HQ Office Facility,inventory,100.0,100.0
0602dc25-8f57-4b0e-bfba-f28776f9082d,HQ Office Facility,inventory,1.0,1.0
0617c3fd-4925-4054-be1e-8eb42fc88cc6,MINT Commissioning of Smart Communication Rooms at,inventory,1000.0,1000.0
062b4661-2a80-4052-a4c3-30fe03d7014c,ICT Park TTA,inventory,4.0,4.0
0645d56d-a10d-492f-a895-e0120019e144,HQ Office Facility,asset,11.0,11.0
064620c3-aacd-44b6-a856-7174177320c8,EPSS,inventory,150.0,150.0
064c6ff1-e1ec-4363-9dee-4727fdf2db70,MINT Commissioning of Smart Communication Rooms at,inventory,88.0,88.0
06566388-7930-4497-a88b-cd47196b8892,HQ Office Facility,inventory,51.0,51.0
06685a47-e314-4568-ad64-2b62860971a2,ICT Park TTA,inventory,40.0,40.0
0675eb84-8cd6-4d1d-a729-e91f4ce7aa98,ICT Park TTA,asset,45.0,45.0
0685af81-be30-49a1-a800-48efa256aa18,ICT Park TTA,inventory,10.0,10.0
0695d4c0-3922-48ad-82ff-0feb92c294aa,ICT Park TTA,inventory,25.0,25.0
06961bbf-2c96-432c-a481-8014bfbfa091,ICT Park TTA,inventory,80.0,80.0
069ab478-0a6f-4eb7-a656-8125da9faa0e,ICT Park TTA,asset,4.0,4.0
06b56a59-882c-4f63-b7a5-2b160a4fa7c0,ICT Park TTA,inventory,50.0,50.0
